الأداة,الكود,الاسم_التجاري_الجديد,Product_Name,التركيبة,Blend_Composition,الوصف_التسويقي_يركز_على_الصحة_والنكهة,Marketing_Description,المقاييس_بالعربي,Flavor_Metrics,ملاحظات_التحضير,Brewing_Notes
غلي,B-001,أعماق إندونيسيا,أAmaq إNdwnysya,١٠٠٪ بن إندونيسي,100% بن Indonesian,لدعم صحة العظام، مشروب قوي بنكهة عشبية ترابية عميقة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 20 دقيقة + عرق سوس,Boil 20 min; add licorice.
غلي,B-002,روبوستا المعدلة,Rwbwsta Almadla,٤٠٪ فيتنامي + ٤٠٪ هندي روبيستا + ٢٠٪ كولومبي,40% Vietnamese + 40% Indian Robusta + 20% Colombian,طاقة عالية جداً، مشروب قوي ومر بنكهة عشبية جريئة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3.5 / رائحة 2 / لون 3,Bitterness 4 / Body 5 / Flavor 3.5 / Aroma 2 / Color 3,غلي 15 دقيقة + قرفة,Boil 15 min; add cinnamon.
غلي,B-003,التوفير الذهبي,Altwfyr Alihby,٧٠٪ برازيلي روبيستا + ٣٠٪ أوغندي,70% Brazilian Robusta + 30% Ugandan,لزيادة الأيض، مشروب قوي بنكهة عشبية مع لمسة ترابية.,"Bold cup.
Flavor profile: medium-full body.",مرارة 4 / قوام 4 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 4 / Flavor 3 / Aroma 3 / Color 3,غلي 12 دقيقة + هيل,Boil 12 min; add cardamom.
غلي,B-004,اليقظة الآسيوية,Alyqza AlآSywya,٦٠٪ هندي روبيستا + ٤٠٪ إندونيسي,60% Indian Robusta + 40% Indonesian,لتركيز فوري، مشروب قوي جداً بنكهة عشبية ترابية.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 15 دقيقة + فلفل وردي,Boil 15 min; add pink pepper.
غلي,B-005,إندونيسي الدبس,إNdwnysy Aldbs,٧٠٪ إندونيسي + ٣٠٪ هندي مايسور,70% Indonesian + 30% Indian Mysore,لطاقة وقوة بدنية، مشروب قوي جداً بنكهة عشبية ترابية عميقة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 25 دقيقة + دبس رمان,Boil 25 min; add pomegranate molasses.
غلي,B-006,طاقة التمرين,Taqa Altmryn,٦٠٪ فيتنامي + ٤٠٪ أوغندي,60% Vietnamese + 40% Ugandan,لأداء رياضي عالي، مشروب قوي بنكهة عشبية جريئة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 10 دقائق + زنجبيل طازج,"Boil 10 min; add fresh ginger, ginger."
غلي,B-007,القوة الآسيوية المعدلة,Alqwa AlآSywya Almadla,٨٠٪ هندي روبيستا + ٢٠٪ كولومبي,80% Indian Robusta + 20% Colombian,لطاقة قصوى، مشروب قوي ومر جداً بنكهة عشبية.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 2.5 / رائحة 2 / لون 2,Bitterness 4 / Body 5 / Flavor 2.5 / Aroma 2 / Color 2,غلي 15 دقيقة + قشر برتقال,Boil 15 min; add orange peel.
غلي,B-008,إندونيسي المميز,إNdwnysy Almmyz,١٠٠٪ بن إندونيسي,100% بن Indonesian,لدعم صحة المفاصل، مشروب قوي بنكهة عشبية ترابية عميقة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 30 دقيقة + جوزة الطيب,Boil 30 min; add nutmeg.
غلي,B-009,مناعة الشرق,Mnaaa Alshrq,٦٠٪ حبشي هراري + ٤٠٪ فيتنامي,60% Ethiopian Harrar + 40% Vietnamese,لتعزيز المناعة، مشروب يجمع بين النكهات العشبية الفاكهية والقوية.,"Bold cup.Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 3 / لون 3,Bitterness 3 / Body 4 / Flavor 4 / Aroma 3 / Color 3,غلي 15 دقيقة + قرفة,Boil 15 min; add cinnamon.
غلي,B-010,متانة الروبوستا,Mtana Alrwbwsta,٨٠٪ هندي روبيستا + ٢٠٪ برازيلي روبيستا,80% Indian Robusta + 20% Brazilian Robusta,لقوة تحمل عالية، مشروب قوي ومر جداً بنكهة عشبية.,"Bold cup.
Flavor profile: full body.",مرارة 5 / قوام 5 / نكهة 3 / رائحة 2 / لون 2,Bitterness 5 / Body 5 / Flavor 3 / Aroma 2 / Color 2,غلي 25 دقيقة + فانيليا,Boil 25 min; add vanilla.
