الأداة,الكود,الاسم_التجاري,Product_Name,التركيبة,Blend_Composition,الوصف_التسويقي_للنكهة_للعميل,Marketing_Description,المقاييس_بالعربي,Flavor_Metrics,ملاحظات_التحضير,Brewing_Notes
آيروبرس,AP-SIG-01,جوهرة أفريقيا,Jwhra أFryqya,٦٠٪ كيني + ٤٠٪ حبشي لقميتي,60% Kenyan + 40% Ethiopian Lekemti,"جوهرة أفريقية، كوب مشرق وعصيري تفوح منه رائحة الزهور مع حمضية الفواكه المنعشة.","Refreshing cup.
Flavor profile: floral; high acidity; medium body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 5 / قوام 3,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 5 / Body 3,نقع 1:50 د، ماء 91°م,Steep; 1:50 min; water 91°C.
آيروبرس,AP-SIG-02,لاتينو سويت,Latynw Sweet,٥٠٪ كوستا ريكي + ٣٠٪ كولومبي + ٢٠٪ جواتيمالا,50% Costa Rican + 30% Colombian + 20% Guatemala,"حلاوة أمريكا اللاتينية، كوب متوازن يجمع بين نكهة الشوكولاتة المحبوبة وحلاوة طبيعية.","Signature cup.
Flavor profile: chocolate; bright acidity; medium-full body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 4 / قوام 4,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 4 / Body 4,نقع 2:10 د، ماء 93°م,Steep; 2:10 min; water 93°C.
آيروبرس,AP01,توليفتي™ إثيوبيا آيرو,Tawlifti Ethiopia آYrw,١٠٠٪ حبشي هراري,100% Ethiopian Harrar,"كوب إثيوبي نقي وعطري، يجمع بين رائحة الياسمين الفواحة وحمضية الليمون المنعشة.","Refreshing cup.
Flavor profile: jasmine; high acidity; medium body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 4 / قوام 3,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 4 / Body 3,نقع 1:45 د، ماء 90°م,Steep; 1:45 min; water 90°C.
آيروبرس,AP02,توليفتي™ بيكان,Tawlifti Bykan,٦٠٪ برازيلي + ٤٠٪ كولومبي,60% Brazilian + 40% Colombian,"فنجان متوازن ومريح، يجمع بين حلاوة شوكولاتة الحليب ونكهة اللوز المحمص.","Comforting cup.
Flavor profile: chocolate; balanced acidity; medium-full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 3 / قوام 4,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 3 / Body 4,نقع 2 د، ماء 94°م,Steep; 2 min; water 94°C.
آيروبرس,AP03,كوستاريكا العسلية,Costa Rica Alaslya,١٠٠٪ كوستا ريكي,100% Costa Rican,"كوب حلو وناعم كالحرير، يجمع بين حلاوة العسل الصافي ونكهة الخوخ الصيفي.","Signature cup.
Flavor profile: honey, peach; bright acidity; medium body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 3,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 3,نقع 2:15 د، ماء 92°م,Steep; 2:15 min; water 92°C.
آيروبرس,AP04,يمن موكا آيرو,Ymn Mocha آYrw,١٠٠٪ يمني خولاني,100% Yemeni Khawlani,"تجربة يمنية أصيلة، تتميز بعمق نكهة الكاكاو وحمضية التوت البري المنعشة.","Refreshing cup.
Flavor profile: cocoa, berry; low acidity; medium-full body.",وضوح 2 / حمضية 2 / عطرية 5 / تعقيد 5 / قوام 4,Clarity 2 / Acidity 2 / Fragrance 5 / Complexity 5 / Body 4,نقع 2 د، ماء 88°م,Steep; 2 min; water 88°C.
آيروبرس,AP05,كينيا AA آيرو,Kynya Aa آYrw,١٠٠٪ كينا AAA,100% Kenya AAA,"فنجان كيني جريء، يجمع بين حمضية الفواكه اللاذعة ولمسة عشبية منعشة.","Refreshing cup.
Flavor profile: high acidity; medium-full body.",وضوح 4 / حمضية 5 / عطرية 4 / تعقيد 5 / قوام 4,Clarity 4 / Acidity 5 / Fragrance 4 / Complexity 5 / Body 4,نقع 1:50 د، ماء 91°م,Steep; 1:50 min; water 91°C.
آيروبرس,AP06,أنتيغوا آيرو,Antigua آYrw,١٠٠٪ جواتيمالا,100% Guatemala,"كوب غني وممتلئ، يجمع بين حلاوة الكرز الداكن وعمق الشوكولاتة الفاخرة.","Luxurious cup.
Flavor profile: chocolate; balanced acidity; full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 4 / Body 5,نقع 2:10 د، ماء 93°م,Steep; 2:10 min; water 93°C.
آيروبرس,AP07,برازيل سيرادو آيرو,Brazyl Cerrado آYrw,١٠٠٪ برازيلي سانتوس,100% Brazilian Santos,"فنجان برازيلي كلاسيكي، يجمع بين نكهة البندق المحمص وحلاوة السكر البني الدافئة.","Signature cup.
Flavor profile: hazelnut; low acidity; full body.",وضوح 3 / حمضية 2 / عطرية 3 / تعقيد 2 / قوام 5,Clarity 3 / Acidity 2 / Fragrance 3 / Complexity 2 / Body 5,نقع 2 د، ماء 92°م,Steep; 2 min; water 92°C.
آيروبرس,AP08,بيرو تشانشامايو,Byrw Tshanshamayw,١٠٠٪ بيرو,100% Peru,"كوب حلو وناعم، يجمع بين حلاوة فاكهة الكمثرى ونعومة الشوكولاتة البيضاء.","Signature cup.
Flavor profile: chocolate; bright acidity; medium-full body.",وضوح 4 / حمضية 4 / عطرية 3 / تعقيد 3 / قوام 4,Clarity 4 / Acidity 4 / Fragrance 3 / Complexity 3 / Body 4,نقع 2:05 د، ماء 90°م,Steep; 2:05 min; water 90°C.
