الأداة,الكود,الاسم_التجاري,Product_Name,التركيبة,Blend_Composition,الوصف_التسويقي_للنكهة_للعميل,Marketing_Description,المقاييس_بالعربي,Flavor_Metrics,ملاحظات_التحضير,Brewing_Notes
كيمكس,CM01,توليفتي™ إثيوبيا كيمكس,Tawlifti Ethiopia Chemex,١٠٠٪ حبشي هراري,100% Ethiopian Harrar,"كوب نقي وصافٍ كالشاي، تفوح منه رائحة الياسمين العطرية مع حمضية الليمون المنعشة.","Refreshing cup.
Flavor profile: jasmine; high acidity; light body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 4 / قوام 2,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 4 / Body 2,4 صبات متدرجة,"4 staged pours; Staged pour"
كيمكس,CM02,توليفتي™ كينيا كيمكس,Tawlifti Kynya Chemex,١٠٠٪ كينيا AAA,100% Kenya AAA,"تجربة كينية جريئة ونقية، تتميز بحمضية الفواكه اللاذعة مع لمسة عطرية من التوابل الوردية الرقيقة.","Signature cup.
Flavor profile: high acidity; medium body.",وضوح 4 / حمضية 5 / عطرية 4 / تعقيد 5 / قوام 3,Clarity 4 / Acidity 5 / Fragrance 4 / Complexity 5 / Body 3,صب حلزوني بطيء,Spiral pour (slow)
كيمكس,CM03,أصل كوستاريكا,أSl Kwstarika,١٠٠٪ كوستا ريكي,100% Costa Rican,"كوب متوازن يجمع بين حمضية التفاح الأخضر المنعشة ونكهة المكسرات المحمصة.","Signature cup.
Flavor profile: apple; balanced acidity; medium body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 3,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 3,3 صبات متقطعة,3 pulse pours
كيمكس,CM04,أصل جواتيمالا,أSl Jwatymala,١٠٠٪ جواتيمالا,100% Guatemala,"كوب غني ودافئ، يجمع بين حلاوة الكراميل ونكهة اللوز المحمص اللذيذ.","Comforting cup.
Flavor profile: caramel; balanced acidity; medium-full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 4 / قوام 4,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 4 / Body 4,صب دائري بطيء,Circular pour (slow)
كيمكس,CM05,أصل اليمن,أSl Alymn,١٠٠٪ يمني خولاني,100% Yemeni Khawlani,"رحلة إلى اليمن، كوب غني بعمق الكاكاو الخام وحلاوة التمر الأصيلة.","A journey in a cup.
Flavor profile: cocoa, date; low acidity; full body.",وضوح 2 / حمضية 2 / عطرية 5 / تعقيد 5 / قوام 5,Clarity 2 / Acidity 2 / Fragrance 5 / Complexity 5 / Body 5,صب متدرج، وقت 4:30 د,"Staged pour; 4:30 min."
كيمكس,CM06,توليفتي™ فول إنتنسو,Tawlifti Fwl إNtnsw,٥٠٪ كولومبي + ٥٠٪ برازيلي,50% Colombian + 50% Brazilian,"كوب قوي وممتلئ، يجمع بين حلاوة الشوكولاتة الداكنة ونكهة المكسرات المحمصة.","Signature cup.
Flavor profile: chocolate; low acidity; full body.",وضوح 3 / حمضية 2 / عطرية 3 / تعقيد 2 / قوام 5,Clarity 3 / Acidity 2 / Fragrance 3 / Complexity 2 / Body 5,صب دائري، وقت 3:30 د,"Circular pour; 3:30 min."
V60,V01,توليفتي™ بالانس,Tawlifti Balance,٧٠٪ برازيلي + ٣٠٪ كولومبي,70% Brazilian + 30% Colombian,"كوب قهوة متوازن ومثالي لكل يوم، يجمع بين حلاوة المكسرات المحمصة وحمضية خفيفة ومنعشة.","Refreshing cup.
Flavor profile: balanced acidity; medium body.",وضوح 3 / حمضية 3 / عطرية 3 / تعقيد 3 / قوام 3,Clarity 3 / Acidity 3 / Fragrance 3 / Complexity 3 / Body 3,ماء 93°م، وقت 2:30 د,"water 93°C; 2:30 min."
V60,V02,كينيا برايت,Kynya Bright,١٠٠٪ كينيا AAA,100% Kenya AAA,"تجربة كينية مشرقة ونقية، تتميز بنكهة التوت الحلو وحمضية الليمون المنعشة في فنجان خفيف القوام.","Refreshing cup.
Flavor profile: berry; high acidity; light body.",وضوح 5 / حمضية 5 / عطرية 4 / تعقيد 5 / قوام 2,Clarity 5 / Acidity 5 / Fragrance 4 / Complexity 5 / Body 2,صب متقطع، ماء 92°م، 3 دقائق,"Pulse pour; water 92°C; 3 min."
V60,V03,عطر يرجاشيف,Atr Yrjashyf,٨٥٪ حبشي هراري + ١٥٪ حبشي لقميتي,85% Ethiopian Harrar + 15% Ethiopian Lekemti,"فنجان فاخر تفوح منه رائحة الزهور العطرية، مع حمضية ناعمة تشبه الشاي الفاخر ولمسة من حلاوة قصب السكر.","Luxurious cup.
Flavor profile: floral; high acidity; light body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 4 / قوام 2,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 4 / Body 2,صب دائري بطيء، ماء 90°م,Circular pour (slow); water 90°C.
V60,V04,كوستاريكا تارازو,Costa Rica Tarrazu,٨٠٪ كوستا ريكي + ٢٠٪ بيرو,80% Costa Rican + 20% Peru,"كوب غني ودافئ بنكهة الكراميل الحلو وجوز البقان المحمص، يمنحك إحساسًا بالراحة والدفء.","Comforting cup.
Flavor profile: caramel, pecan; bright acidity; medium-full body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 4,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 4,صب مركز، ماء 94°م، 2:45 د,"Center pour; water 94°C; 2:45 min."
V60,V05,موكا بالزعفران,Mocha Balzafran,١٠٠٪ يمني خولاني,100% Yemeni Khawlani,"رحلة إلى أسواق الشرق، حيث تمتزج نكهة الكاكاو الغنية مع حلاوة الخوخ المجفف ولمسة فاخرة من التوابل والزعفران.","Luxurious cup.
Flavor profile: cocoa, peach, saffron; low acidity; medium-full body.",وضوح 2 / حمضية 2 / عطرية 5 / تعقيد 5 / قوام 4,Clarity 2 / Acidity 2 / Fragrance 5 / Complexity 5 / Body 4,"صب طبقات، ماء 88°م، تضاف رشة زعفران","Layered pour; water 88°C; add saffron."
V60,V06,هويلا سويت,Huila Sweet,١٠٠٪ كولومبي,100% Colombian,"حلاوة طبيعية ومنعشة في فنجانك، تذكرنا بالتفاح الأحمر الطازج والعسل الذهبي الصافي.","Refreshing cup.
Flavor profile: honey, apple; bright acidity; medium body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 3,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 3,صب سريع، ماء 91°م، 2:15 د,"fast; water 91°C; 2:15 min."
