Product Code (كود المنتج),Product Name (اسم المنتج),Product Name English,Company (الشركة),% (of Blend) (نسبة الخلط),Description (وصف المنتج),الوصف,Flavor Metrics (المقاييس),Brewing Notes (ملحوظات التحضير),Brewing Notes English
AF001,اثيوبيا ايراشيف,Ethiopia Yirgacheffe,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ اثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF002,قهوة Yirga Moka,Yirga Moka Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ اثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF003,قهوة Buna Yirga,Buna Yirga Moka,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ اثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF004,قهوة Yirgacheffe Kudu,Yirgacheffe Kudu,SGL,100%,100% Ethiopia - 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة وذات مذاق متوازن,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF005,أثيوبيا سيدامو,Ethiopia Sidamo,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF006,أثيوبيا ايربون ييرغا تشافا,Ethiopia Irbone Yirga Chaffee,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF007,أثيوبيا ييرجا تشافانشو,Ethiopia Yirga Chafanso,SGL,100%,100% Ethiopia - 100% Arabica - Premium cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF008,أثيوبيا بون بون موكا,Ethiopia Bun Bun Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF009,أثيوبيا بون بون موكا,Ethiopia Bun Bun Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF010,أثيوبيا ييرجا واريجودا,Ethiopia Yirga Wariguda,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
