Category,Code,Arabic,English,الأداة,الكود,الاسم التجاري,Product Name,التركيبة,Blend Composition,الوصف التسويقي للنكهة (للعميل),Marketing Description,المقاييس بالعربي,Flavor Metrics,ملاحظات التحضير,Brewing Notes,الاسم التجاري الجديد,الوصف التسويقي (يركز على الصحة والنكهة),كثافة التحميص,Roast Level,التحميص,Roast,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Espresso,1,الكريما,Crema,,,,,,,,,,,,,,,,,,,,,,,,
Espresso,2,القوام,Body,,,,,,,,,,,,,,,,,,,,,,,,
Espresso,3,التوازن,Balance,,,,,,,,,,,,,,,,,,,,,,,,
Espresso,4,المذاق اللاحق,Aftertaste,,,,,,,,,,,,,,,,,,,,,,,,
Espresso,5,الكثافة,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
Filter & Immersion,ت,تعقيد النكهات,Complexity,,,,,,,,,,,,,,,,,,,,,,,,
Filter & Immersion,ح,الحمضية,Acidity,,,,,,,,,,,,,,,,,,,,,,,,
Filter & Immersion,ع,العطرية,Fragrance,,,,,,,,,,,,,,,,,,,,,,,,
Filter & Immersion,ق,القوام,Body,,,,,,,,,,,,,,,,,,,,,,,,
Filter & Immersion,و,وضوح النكهة,Clarity,,,,,,,,,,,,,,,,,,,,,,,,
Green Coffee,ر,الرائحة,Aroma,,,,,,,,,,,,,,,,,,,,,,,,
Green Coffee,ق,القوام,Body,,,,,,,,,,,,,,,,,,,,,,,,
Green Coffee,ل,اللون,Color,,,,,,,,,,,,,,,,,,,,,,,,
Green Coffee,م,المرارة,Bitterness,,,,,,,,,,,,,,,,,,,,,,,,
Green Coffee,ن,النكهة,Flavor,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Coffee,ح,الحمضية,Acidity,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Coffee,ر,الرائحة,Aroma,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Coffee,ق,القوام,Body,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Coffee,م,المرارة,Bitterness,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Coffee,ن,النكهة,Flavor,,,,,,,,,,,,,,,,,,,,,,,,
