الكود,الاسم_التجاري,Product_Name,التركيبة,Blend_Composition,الوصف_التسويقي_للنكهة_للعميل,Marketing_Description,كثافة_التحميص,Roast_Level,المقاييس_بالعربي,Flavor_Metrics
ESP-01,ذهب روما,Gold Roma,40% برازيلي + 30% كولومبي + 30% روبوستا هندي,40% Brazilian + 30% Colombian + 30% روبوستا Indian,"إسبريسو إيطالي كلاسيكي، بكريمة ذهبية غنية ونكهة تجمع بين الكاكاو والمكسرات مع لمسة دافئة من التوابل.","Signature cup.
Flavor profile: cocoa; full body.",4,Medium-Dark,كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 4 / كثافة 5,Crema 5 / Body 5 / Balance 4 / Aftertaste 4 / Intensity 5
ESP-02,نوار إنتنسو,Noir إNtnsw,50% برازيلي + 20% يمني + 30% روبوستا فيتنامي,50% Brazilian + 20% Yemeni + 30% روبوستا Vietnamese,"إسبريسو قوي وعميق للخبراء، يجمع بين مرارة الكاكاو الداكنة وحلاوة التوت الأسود مع لمسة دخانية كلاسيكية.","Bold cup.
Flavor profile: cocoa, berry; full body.",5,Dark,كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 5 / كثافة 5,Crema 5 / Body 5 / Balance 4 / Aftertaste 5 / Intensity 5
ESP-03,فورتي,Forti,60% برازيلي + 40% كولومبي,60% Brazilian + 40% Colombian,"إسبريسو سلس ونظيف، يجمع بين حلاوة الكراميل والمكسرات المحمصة مع كريمة ذهبية كثيفة.","Signature cup.
Flavor profile: caramel, nut; full body.",4,Medium-Dark,كريما 4 / قوام 5 / توازن 5 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 5 / Balance 5 / Aftertaste 4 / Intensity 4
ESP-04,لا ميلا إنتنسو,La Myla إNtnsw,50% هندي روبوستا + 30% كولومبي + 20% برازيلي,50% Indian Robusta + 30% Colombian + 20% Brazilian,"إسبريسو جريء ومر، يجمع بين الكاكاو الداكن وحلاوة التين مع كريمة سميكة وقوية.","Bold cup.
Flavor profile: cocoa; full body.",5,Dark,كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 5 / كثافة 5,Crema 5 / Body 5 / Balance 4 / Aftertaste 5 / Intensity 5
ESP-05,أرابيكا 100%,Arabica 100%,100% حبشي هراري,100% Ethiopian Harrar,"إسبريسو فاكهي ومشرق، يجمع بين حلاوة البرتقال والليمون مع لمسة عطرية من الزهور البيضاء.","Refreshing cup.
Flavor profile: orange, floral; high acidity; medium body.",3,Medium,كريما 3 / قوام 3 / توازن 4 / مذاق لاحق 5 / كثافة 3,Crema 3 / Body 3 / Balance 4 / Aftertaste 5 / Intensity 3
ESP-06,ديلونج,Dylwnj,60% برازيلي + 20% يمني + 20% حبشي,60% Brazilian + 20% Yemeni + 20% Ethiopian,"إسبريسو متوازن، يجمع بين حلاوة الكراميل والمكسرات وعمق الكاكاو مع حمضية خفيفة.","Signature cup.
Flavor profile: caramel; medium body.",4,Medium-Dark,كريما 4 / قوام 4 / توازن 5 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4 / Balance 5 / Aftertaste 4 / Intensity 4
ESP-07,ألتورا,أLtwra,50% بيرو + 50% جواتيمالا,50% Peru + 50% Guatemala,"إسبريسو سلس ومريح، يجمع بين حلاوة الفول السوداني المحمص ودفء القرفة مع كريمة متوسطة.","Comforting cup.
Flavor profile: peanut, cinnamon; balanced acidity; medium body.",3,Medium,كريما 3 / قوام 4 / توازن 4 / مذاق لاحق 4 / كثافة 4,Crema 3 / Body 4 / Balance 4 / Aftertaste 4 / Intensity 4
ESP-08,بلاك كينيا,Black Kenya,80% كينيا AAA + 20% روبوستا هندي,80% Kenya AAA + 20% روبوستا Indian,"إسبريسو جريء، يجمع بين حمضية التوت الأسود اللاذعة وعمق الكاكاو الداكن مع كريمة كثيفة.","Bold cup.
Flavor profile: berry; high acidity; full body.",5,Dark,كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 5 / كثافة 5,Crema 5 / Body 5 / Balance 4 / Aftertaste 5 / Intensity 5
ESP-09,كولومبيا,Columbia,100% كولومبي,100% Colombian,"إسبريسو متوازن وحيوي، يجمع بين حلاوة التفاح الأحمر ونعومة العسل الصافي.","Refreshing cup.
Flavor profile: apple; bright acidity; medium-full body.",3,Medium,كريما 4 / قوام 4 / توازن 4 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4 / Balance 4 / Aftertaste 4 / Intensity 4
ESP-10,جولدن يمن,Golden Ymen,100% يمني خولاني,100% Yemeni Khawlani,"إسبريسو فاخر، يجمع بين عمق نكهة الكاكاو الخام وحلاوة التمر الداكنة مع لمسة من التوابل الدافئة.","Luxurious cup.
Flavor profile: cocoa, date, spice; low acidity; full body.",4,Medium-Dark,كريما 4 / قوام 5 / توازن 4 / مذاق لاحق 5 / كثافة 5,Crema 4 / Body 5 / Balance 4 / Aftertaste 5 / Intensity 5
